Date,BBDC4,ITUB4,PETR4
2024-01-02,13.77664852142334,24.047487258911133,27.320465087890625
2024-01-03,13.792272567749023,23.782041549682617,28.173776626586914
2024-01-04,13.602888107299805,23.624221801757812,27.935144424438477
2024-01-05,13.89931869506836,24.176620483398438,28.000226974487305
2024-01-08,13.792272567749023,23.918350219726562,27.790512084960938
2024-01-09,13.421737670898438,23.904008865356445,27.55187225341797
2024-01-10,13.191180229187012,23.882482528686523,27.29877281188965
2024-01-11,13.125304222106934,23.925525665283203,27.53017807006836
2024-01-12,13.018260955810547,23.954225540161133,27.602497100830078
2024-01-15,13.067666053771973,23.997268676757812,27.898984909057617
2024-01-16,12.952388763427734,23.660085678100586,27.55187225341797
2024-01-17,12.977089881896973,23.674434661865234,27.392780303955078
2024-01-18,12.902982711791992,23.573999404907227,27.284311294555664
2024-01-19,12.87828254699707,23.631385803222656,27.139678955078125
2024-01-22,12.730064392089844,23.243988037109375,27.262615203857422
2024-01-23,12.664193153381348,23.35159683227539,27.602497100830078
2024-01-24,12.614787101745605,23.243988037109375,27.392780303955078
2024-01-25,12.647723197937012,23.193769454956055,28.405183792114258
2024-01-26,12.779471397399902,23.538129806518555,28.89692497253418
2024-01-29,12.664193153381348,23.416170120239258,29.338048934936523
2024-01-30,12.573615074157715,23.265512466430664,29.157262802124023
2024-01-31,12.639488220214844,23.5166072845459,29.475444793701172
2024-02-01,12.614787101745605,23.464672088623047,30.061193466186523
2024-02-02,12.630431175231934,23.500558853149414,29.670692443847656
2024-02-05,12.886005401611328,23.94559097290039,29.800861358642578
2024-02-06,13.685715675354004,24.972034454345703,30.07565689086914
2024-02-07,11.50919246673584,24.792591094970703,30.51677703857422
2024-02-08,11.17941665649414,24.304487228393555,30.270906448364258
2024-02-09,11.096973419189453,24.61313819885254,29.865943908691406
2024-02-14,11.022771835327148,24.61313819885254,29.641767501831055
2024-02-15,11.072237968444824,24.821306228637695,30.58909034729004
2024-02-16,11.113457679748535,24.792591094970703,30.871110916137695
2024-02-19,11.253613471984863,25.065351486206055,31.022977828979492
2024-02-20,11.517436027526855,25.610876083374023,30.697559356689453
2024-02-21,11.476212501525879,25.467321395874023,30.740943908691406
2024-02-22,11.542167663574219,25.322858810424805,30.509540557861328
2024-02-23,11.393770217895508,25.39698600769043,30.29983139038086
2024-02-26,11.377279281616211,25.47111701965332,30.871110916137695
2024-02-27,11.558656692504883,25.782459259033203,30.82772445678711
2024-02-28,11.50919246673584,25.79728889465332,29.23680305480957
2024-02-29,11.336055755615234,25.159770965576172,29.027090072631836
2024-03-01,11.377279281616211,25.2692813873291,29.056015014648438
2024-03-04,11.269108772277832,25.076438903808594,28.98370361328125
2024-03-05,11.326903343200684,25.054189682006836,28.89692497253418
2024-03-06,11.40945816040039,25.328611373901367,29.533300399780273
2024-03-07,11.3599214553833,25.061601638793945,29.207876205444336
2024-03-08,11.425971031188965,25.291532516479492,26.53946876525879
2024-03-11,11.492012977600098,25.41761589050293,25.78016471862793
2024-03-12,11.632363319396973,25.521453857421875,26.62624740600586
2024-03-13,11.756199836730957,25.77362823486328,26.308063507080078
2024-03-14,11.830501556396484,25.75879669189453,26.192359924316406
2024-03-15,11.648874282836914,25.617870330810547,26.26467514038086
2024-03-18,11.723176956176758,25.721712112426758,26.279138565063477
2024-03-19,11.657130241394043,25.75879669189453,26.083887100219727
2024-03-20,11.805734634399414,25.810712814331055,26.53946876525879
2024-03-21,11.673643112182617,25.5437068939209,25.816322326660156
2024-03-22,11.525036811828613,25.1865234375,26.06942367553711
2024-03-25,11.508524894714355,25.1865234375,26.467153549194336
2024-03-26,11.673643112182617,25.686965942382812,26.221284866333008
2024-03-27,11.855267524719238,25.82888412475586,26.43099594116211
2024-03-28,11.772710800170898,25.87369728088379,27.01674461364746
2024-04-01,11.665388107299805,24.990114212036133,27.226459503173828
2024-04-02,11.73067569732666,25.020008087158203,27.927913665771484
2024-04-03,11.962143898010254,24.833181381225586,27.78327751159668
2024-04-04,12.036545753479004,24.504358291625977,27.4650936126709
2024-04-05,12.0034818649292,24.459518432617188,27.55187225341797
2024-04-08,12.086146354675293,24.825702667236328,27.935144424438477
2024-04-09,12.16054916381836,25.087263107299805,28.007455825805664
2024-04-10,11.904276847839355,24.556669235229492,28.629362106323242
2024-04-11,11.896010398864746,24.511831283569336,28.419647216796875
2024-04-12,11.747206687927246,24.257741928100586,28.159317016601562
2024-04-15,11.573603630065918,23.846725463867188,28.426883697509766
2024-04-16,11.490930557250977,23.667367935180664,28.55704689025879
2024-04-17,11.433066368103027,23.68231773376465,28.766759872436523
2024-04-18,11.383466720581055,23.71220588684082,28.81737518310547
2024-04-19,11.275994300842285,23.57769203186035,29.309120178222656
2024-04-22,11.226393699645996,23.5627498626709,30.010570526123047
2024-04-23,11.300796508789062,23.913986206054688,29.952716827392578
2024-04-24,11.300796508789062,23.809362411499023,29.815317153930664
2024-04-25,11.29253101348877,23.674840927124023,30.531238555908203
2024-04-26,11.474400520324707,24.0709171295166,30.96242904663086
2024-04-29,11.623204231262207,23.88409423828125,31.334125518798828
2024-04-30,11.573603630065918,23.435699462890625,31.237485885620117
2024-05-02,11.44133186340332,23.77789878845215,31.356422424316406
2024-05-03,11.407370567321777,24.076993942260742,30.95754051208496
2024-05-06,11.399093627929688,24.22654151916504,31.16707420349121
2024-05-07,11.399093627929688,24.727519989013672,31.54735565185547
2024-05-08,11.423927307128906,24.88454818725586,32.02851867675781
2024-05-09,11.134191513061523,24.13681411743164,32.338951110839844
2024-05-10,11.067967414855957,24.413482666015625,32.269100189208984
2024-05-13,11.117631912231445,24.71256446838379,32.30014419555664
2024-05-14,11.109354972839355,24.981752395629883,31.71809196472168
2024-05-15,11.001737594604492,24.91445541381836,29.801189422607422
2024-05-16,11.059685707092285,24.839685440063477,28.931989669799805
2024-05-17,11.117631912231445,24.847158432006836,28.474103927612305
2024-05-20,11.034854888916016,24.772382736206055,28.520675659179688
